,name,duration,ratings,votes,user_review,Type,Episodes,start_year,end_year,genre1,genre2,rank
50,Fairy Tail: Fearî teiru,24.0,7.9,25755,132,TV-14,339,2009,2019,Action,Adventure,51
23,Shin Sekai Yori,25.0,7.9,3397,21,TV-14,25,2012,2013,Action,Adventure,24
84,Kaichou wa meido-sama!,24.0,7.9,7915,46,TV-14,28,2010,2011,Comedy,Romance,85
103,Ranma ½,23.0,7.9,5341,39,TV-14,18,1989,1989,Action,Comedy,104
91,Gangureivu,25.0,7.9,5119,37,TV-14,26,2003,2004,Action,Crime,92
101,"Ima, soko ni iru boku",25.0,7.9,1832,14,TV-14,13,1999,2000,Action,Adventure,102
98,Erufen rîto,24.0,7.9,34595,154,TV-MA,14,2004,2004,Action,Drama,99
421,Noragami,24.0,7.9,16894,38,TV-14,29,2014,2015,Action,Adventure,422
114,Inuyasha,24.0,7.9,16885,80,TV-14,167,2000,2004,Action,Adventure,115
427,Yahari ore no seishun rabukome wa machigatteiru.,24.0,7.9,7522,52,TV-14,40,2013,2020,Comedy,Drama,428
88,Ergo Proxy,25.0,7.9,14991,60,TV-14,23,2006,2006,Action,Adventure,89
99,Wolf's Rain,23.366666666666667,7.9,7972,40,TV-14,30,2003,2004,Action,Adventure,100
413,Nanatsu no taizai,24.0,7.9,33980,174,TV-14,100,2014,2021,Action,Adventure,414
102,Fruits Basket,24.0,7.9,5983,49,TV-PG,26,2001,2001,Comedy,Drama,103
405,Zankyô no teroru,23.0,7.8,11988,57,TV-14,11,2014,2014,Crime,Drama,406
130,K-On!,24.0,7.8,4073,18,TV-PG,41,2009,2010,Comedy,Drama,131
349,Janguru wa itsumo hare nochi Guu,23.0,7.8,298,2,TV-PG,26,2001,2001,Comedy,Fantasy,350
161,Akagi,25.0,7.8,698,3,Not Rated,26,2005,2006,Sport,Thriller,162
37,Durarara!!,24.0,7.8,7492,9,TV-14,26,2010,2010,Action,Comedy,38
133,Hyouka,24.0,7.8,5437,18,TV-14,23,2012,2012,Comedy,Drama,134
132,Kimi ni todoke,24.0,7.8,4387,18,TV-PG,38,2009,2011,Comedy,Drama,133
97,Last Exile,24.0,7.8,3740,28,TV-PG,26,2003,2003,Action,Adventure,98
72,Hachimitsu to kurôbâ,25.0,7.8,1311,4,TV-14,32,2005,2006,Comedy,Drama,73
428,Danshi kôkôsei no nichijô,24.0,7.8,2626,12,TV-PG,18,2012,2012,Comedy,Drama,429
407,Akame ga Kill!,24.0,7.8,26004,133,TV-MA,49,2014,2014,Action,Adventure,408
328,Majingâ Zetto,30.0,7.8,1421,7,Not Rated,92,1972,1974,Action,Animation,329
71,Kôkyô shihen Eureka Sebun,25.0,7.8,3195,36,TV-MA,50,2005,2006,Adventure,Drama,72
318,Dokutaa Suranpu Arale-chan,25.0,7.8,552,1,Not Rated,243,1981,1986,Comedy,Fantasy,319
45,Clannad,30.0,7.8,9796,39,TV-PG,24,2007,2008,Comedy,Drama,46
265,Magi: The Labyrinth of Magic,25.0,7.8,4337,16,TV-14,50,2012,2014,Action,Adventure,266
74,Magi: The Labyrinth of Magic,25.0,7.8,4337,16,TV-14,50,2012,2014,Action,Adventure,75
269,Dennô koiru,25.0,7.8,941,6,TV-14,26,2007,2007,Adventure,Comedy,270
147,Tenkû no Esukafurône,30.0,7.8,4330,40,TV-14,26,1996,1996,Action,Adventure,148
127,School Rumble,25.0,7.8,2090,11,TV-PG,56,2004,2010,Comedy,Romance,128
154,Kaleido Star,23.0,7.8,940,13,TV-PG,51,2003,2004,Comedy,Drama,155
279,Uchû kaizoku kyaputen Hârokku,24.0,7.8,1244,8,Not Rated,42,1978,1979,Action,Adventure,280
312,Dejimon Adobenchâ,30.0,7.8,6602,7,TV-Y7-FV,54,1999,2000,Action,Adventure,313
245,Æon Flux,30.0,7.8,6632,42,TV-14,16,1991,1995,Adventure,Sci-Fi,246
79,Ôkami to kôshinryô,24.0,7.8,4672,14,TV-14,26,2008,2009,Adventure,Drama,80
80,Sôru îtâ,24.0,7.8,13526,41,TV-14,51,2008,2009,Action,Adventure,81
108,Herushingu,23.0,7.8,17087,43,TV-MA,13,2001,2002,Action,Fantasy,109
107,Basilisk: Kôga ninpô chô,25.0,7.8,4129,15,TV-MA,24,2005,2005,Action,Adventure,108
